degree, numerator, denominator exponent
0, -1, 1
1, 1, 3
2, -1, 2
3, 15, 7
4, 0, 0
5, -47, 10
6, -1, 4
7, 987, 15
8, 0, 0
9, -3673, 18
10, 1, 5
11, -61029, 22
12, 0, 0
13, -689455, 25
14, -21, 9
15, 59250963, 31
16, 0, 0
17, -164712949, 34
18, 39, 11
19, -2402805839, 38
20, -1, 6
21, -4850812329, 41
22, 29, 11
23, -18151141041, 46
24, 0, 0
25, 3534139462275, 49
26, -1039, 17
27, -22045971176589, 53
28, -1, 8
29, -750527255965871, 56
30, -4579, 19
31, 54146872254247683, 63
32, 0, 0
33, -155379776183158669, 66
34, 2851, 20
35, -6051993294029466699, 70
36, -1, 10
37, 7704579806709870203, 73
38, 92051, 24
39, -403307733528668035403, 78
40, 0, 0
41, 1650116480759617184697, 81
42, -229813, 26
43, 36124726440442241978477, 85
44, -41, 12
45, -225851495844149964787753, 88
46, 564373, 26
47, -35761228458796476847725737, 94
48, 0, 0
49, 362376876750551361794705823, 97
50, -29407003, 33
51, -6510398483578238274151194427, 101
52, 33, 13
53, 74815618913797220433481657203, 104
54, -30057875, 35
55, -698617278028915809388280344009, 109
56, 0, 0
57, -8675905413734991085610532783493, 112
58, -27868893, 36
59, -375687870961637050293461860951517, 116
60, 1, 12
61, -1418434432207399687114226995905967, 119
62, -11847286243, 40
63, 1084116104452462070609082665064238307, 127
64, 0, 0
65, -5267312999069023320468907267187837501, 130
66, 21920911673, 42
67, -12587804195470930508423250884414875171, 134
68, -55, 16
69, -417465475024774297026833228267243630109, 137
70, 10217713227, 42
71, -767196419810162046740001735517744387367, 142
72, 0, 0
73, 78305803829791781470449330875047041905661, 145
74, -1447722066907, 48
75, -309138699931269436435772103286758515421879, 149
76, -6677, 21
77, -4762077071053136681440439791970629118569861, 152
78, 8140709464361, 50
79, -898433408030351928659626606398808743523101411, 158
80, 0, 0
81, 6396904578318243782775827158644261596698981573, 161
82, -7113832088153, 51
83, 12325347197791945711576332419237705246727881039, 165
84, 10439, 23
85, 859524763639415653256406686989311141385605931017, 168
86, -36843615694781, 55
87, -346210142151645442264854087843339281975229036359, 173
88, 0, 0
89, -399629924972837688479488577064957798395993139497083, 176
90, -10288277991389, 57
91, -1012304885972405900855581770068720885091139867803867, 180
92, -104325, 25
93, 4103777203739806732878678125824143143154829453682775, 183
94, 340704551647237, 57
95, 108376734166611269209485353086407219330670697959596263, 190
96, 0, 0
97, 6782399940562309096731441404849652006563439725039228663, 193
98, -13025534542844563, 65
99, -5212774163111565741384568993260007702411936933422137151, 197
100, 69735, 27
101, 1749621609166100653959196203116873770019996374684408079183, 200
102, -71608953734461123, 67
103, 1311635862589369585472703589697877677901086925728121746745, 205
104, -33, 14
105, -365885284282303297886245644284276114667710996174122761557075, 208
106, 36281518593201443, 68
107, -21037435104652553397530379423554311424543666822639692977470847, 212
108, 475805, 27
109, 154472070943271712563673702833927794825195557591870681879926259, 215
110, -7279642326975824071, 72
111, 1472937063700516491377968726867240513261137840579590913223565151, 221
112, 0, 0
113, -30016936941029238795511924604636437853053801779596964566485113401, 224
114, 5284604814359475389, 74
115, 795627929409815556008117859171272456370091708773942301881031524397, 228
116, 639193, 30
117, -2619701071176509604609471545269563642151980416641905221365809825301, 231
118, -20860683838102114113, 74
119, -138268885720927885713404244258390439076583246641539533859266359532537, 236
120, -33, 16
121, 120065623815432109297897401316904025258970435605148784501336912044907, 239
122, -1671161044648160976945, 80
123, 235183938660872677677759316970790053238014769813356479079650877789059, 243
124, -725625, 32
125, -409961135793900161853290015403455895724345127508218050040343153192380335, 246
126, -10111509191249229780013, 82
127, 104105914542998754338954254950933521028178746243498328611098025618931587235, 255
128, 0, 0
129, -43580996806273210517501141950817703073081227840289714743086658438448881053, 258
130, 16506579224278377447821, 83
131, -5291166082614465507900402287577166520692790918940550851351996855554678161235, 262
132, -294996927, 37
133, -28477581699252930276988826093291737504693461254525056894833637606623252912333, 265
134, 175500623382876533700741, 87
135, -290134568698401615270803872770325633954835866812519773412106892357519871238335, 270
136, 13, 18
137, -13633491876970405442332852492529912584815063119571974440979940204798782854620507, 273
138, -468313198532168593346691, 89
139, 146679191319490251210214162419841595908477113479350056801845758575660598303803361, 277
140, -568992355, 39
141, 1124832409989212509045945615993252060070897025506411795390648913431171550301982947, 280
142, 1078192855540008727273043, 89
143, -83283543070995966726491129327302399125127091962843392815408081892622612191675196159, 286
144, 0, 0
145, 514212139641264083585631959659619695294127275051843320770756204836538424366035941993, 289
146, -59146818568353277756070159, 96
147, -9511636929399299544960838007508040518433042788951960386689311853500521681842643668725, 293
148, 1834345301, 41
149, 48426581541653764037427847411453254038777219154705774934425383518616599776984483027597, 296
150, -170654635573266980933214231, 98
151, -967461965770124610403117714875777316261627605098722633846578134777018823203571448378171, 301
152, -1265, 20
153, -9779810999355378942904563487546888240348497447991169961306671531441545729874742309460799, 304
154, -557956160964668210363035449, 99
155, -553402979446154230241393816746032128841627473126126440479588326601835860126999890118655823, 308
156, -3093862891, 43
157, 1190023755135072851723368833995725415563728171241922114879183587741073784495125101111424507, 311
158, 16338264435940752159686683761, 103
159, -159265621133342817793010551736970507411744455904251367104052627741720240557498954539521147283, 318
160, 0, 0
161, 1068209937433639309448530533143994841461211893318920212646134978433822792736767422359780963901, 321
162, -32311527284616962991735607059, 105
163, 21683451192360971160112937982426875222116808013597948538053875333005102035779029341884157456699, 325
164, 5768515427, 44
165, 347802167325340235909173842563130110455128082779647491829054764220247031102777815783286930073429, 328
166, -27445340036018663189247713993, 105
167, -18245423626005078350781682030251933181451347747127812333469630156191488032948726069925592376488181, 333
168, 507, 22
169, -76445221191685652808725339189090339190559336612672652713912501917875028878730008068733504496974137, 336
170, 519283213047784707099783408845, 111
171, 437979869983459684420919337669220048525190314965343180400799851795400164887449059678313266012456563, 340
172, 45349077837, 45
173, 17618787435907578707008956806804036310435508303248288086942978765226792825245654470177651200555637897, 343
174, -11769332494043624306864016981503, 113
175, 160547341188289500347263839238617462508346034284249850507825159055627984638729050776384818257504821681, 349
176, 0, 0
177, -4232344205652379583972937246261433281768969491503811721891605042657646543414204624376518429950506219927, 352
178, 13713846038986901692471349228463, 114
179, 80208098041457605518234810298416413304498340621832325233120562693827440789260338182999701921433548121523, 356
180, 854646625, 46
181, -1451624472154401157390024617464421788611828764301727734084626258471073779974249215877965268664923216558315, 359
182, -237659459316207208102495783597533, 118
183, 10500506528510758503704545735441747398039417911133607113864323564601012808025694161660778598636860786444993, 364
184, -457, 24
185, -337909317422014923920076893307889242874551488903169280665350070481045577052607915818531022288326431479574307, 367
186, -833418054450972768231054955147245, 120
187, 2963071704188349829584806331970750549821712044093271998510415478698037423589029906356722781258369397092059541, 371
188, -11700192937165, 52
189, -15020778517521636165509691702306324220299664568455256311553713893052554070282886441187901382362347152956983465, 374
190, 3275796152153003339602101815578085, 120
191, -3550940557707906988936457322259559537228291457376007064260683528336036258082467362107600225440949789817972286969, 382
192, 0, 0
193, 70129728330013439288415907034433766713755989187416518956148431246390922641105470597783844599457960396329068510247, 385
194, -455923325312439142438623430688965123, 129
195, -1190330401348345791034775885774633963422486897924746552450688414662546942257384836115392835370701669231241266100647, 389
196, 2251139093419, 54
197, 5308487409990664308407093846776403812824717015552344964358501732208389749968126900972829445799575266637809079175591, 392
198, 866596263925047073263081932820666525, 131
199, -38570158767664775852153956334488348212260402880571204283806550407047663993582693863340697784432695188576740981050347, 397
200, -56321, 26
201, -775025991492192418749224610641942119137668807073719964052909311881965717514965194163598189892814302582071800843179671, 400
202, 2494206070732363797326362178574345507, 132
203, -32889099027522784575771855066310038377809315884593483959878095263425461363347454318783337399457580603342216740507169371, 404
204, 110723357280023, 56
205, 435166753334060304697911364987557544365746829502267460039429874045501989560719622336713999432038203877544810268468043087, 407
